iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,18-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,19-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,20-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,21-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,22-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,23-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,24-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,25-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,26-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,27-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,28-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,29-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,30-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,31-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,01-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,02-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,03-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,04-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,05-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,06-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,07-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,08-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,09-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,10-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,11-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,12-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,13-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,14-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,15-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,16-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,18-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,19-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,20-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,21-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,22-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,23-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,24-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,25-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,26-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,27-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,28-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,29-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,01-03-2020,1,1,0.14,0,0,0,0.02,0.02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,02-03-2020,1,0,0.14,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,03-03-2020,1,0,0.14,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,04-03-2020,1,0,0.14,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,05-03-2020,1,0,0.14,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,06-03-2020,1,0,0.14,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,07-03-2020,1,0,0.14,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,08-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,09-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,10-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,11-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,12-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,13-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,14-03-2020,1,0,0,0,0,0,0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,15-03-2020,7,6,0.86,0,0,0,0.17,0.15,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,16-03-2020,7,0,0.86,0,0,0,0.17,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,17-03-2020,7,0,0.86,0,0,0,0.17,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,18-03-2020,7,0,0.86,0,0,0,0.17,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,19-03-2020,7,0,0.86,0,0,0,0.17,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,20-03-2020,7,0,0.86,0,0,0,0.17,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,21-03-2020,7,0,0.86,0,0,0,0.17,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,22-03-2020,24,17,2.43,0,0,0,0.59,0.42,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,23-03-2020,24,0,2.43,0,0,0,0.59,0,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,24-03-2020,24,0,2.43,0,0,0,0.59,0,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,25-03-2020,24,0,2.43,0,0,0,0.59,0,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,26-03-2020,24,0,2.43,0,0,0,0.59,0,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,27-03-2020,24,0,2.43,0,0,0,0.59,0,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,28-03-2020,24,0,2.43,0,0,0,0.59,0,0.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,29-03-2020,91,67,9.57,2,2,0.29,2.24,1.65,0.24,0.05,0.05,0.01,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,30-03-2020,91,0,9.57,2,0,0.29,2.24,0,0.24,0.05,0,0.01,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,31-03-2020,91,0,9.57,2,0,0.29,2.24,0,0.24,0.05,0,0.01,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,01-04-2020,91,0,9.57,2,0,0.29,2.24,0,0.24,0.05,0,0.01,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,02-04-2020,91,0,9.57,2,0,0.29,2.24,0,0.24,0.05,0,0.01,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,03-04-2020,91,0,9.57,2,0,0.29,2.24,0,0.24,0.05,0,0.01,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,04-04-2020,91,0,9.57,2,0,0.29,2.24,0,0.24,0.05,0,0.01,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
AFG,Asia,Afghanistan,05-04-2020,274,183,26.14,5,3,0.43,6.75,4.51,0.64,0.12,0.07,0.01,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
